id,title,price,image,category,description
14,White Widow,97,https://images.leafly.com/flower-images/white-widow.png,Hybrid,"Among the most famous strains worldwide is White Widow, a balanced hybrid first bred in the Netherlands by Green House Seeds. A cross between a Brazilian sativa landrace and a resin-heavy South Indian indica,  White Widow has blessed every Dutch coffee shop menu since its birth in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow’s genetics have given rise to many other legends like White Russian, White Rhino, and Blue Widow. Still, many growers prefer cultivation of the original White Widow, which flowers in about 60 days indoors."
15,Pineapple Express,90,https://images.leafly.com/flower-images/pineapple-express.png,Hybrid,"Pineapple Express combines the potent and flavorful forces of parent strains Trainwreck and Hawaiian. The smell is likened to fresh apple and mango, with a taste of pineapple, pine, and cedar. This hard-hitting hybrid provides a long-lasting energetic buzz perfect for productive afternoons and creative escapes."
16,Green Crack,67,https://images.leafly.com/flower-images/green-crack.png,Sativa,"Green Crack is a potent sativa strain known for its energizing effects. But don’t let the name fool you: this is pure cannabis. Few strains compare to Green Crack’s sharp energy and focus as it induces an invigorating mental buzz that keeps you going throughout the day. With a tangy, fruity flavor redolent of mango, Green Crack is a great daytime strain that may help consumers fight fatigue, stress, and depression. Because the name ""Green Crack"" perpetuates a negative image of cannabis, some people have taken to calling this strain Cush (with a ‘C’) or Green Cush instead."
17,Bubba Kush,100,https://images.leafly.com/flower-images/bubba-kush.png,Indica,"Bubba Kush is an indica strain that has gained notoriety in the US and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while bringing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple."
18,Northern Lights,92,https://images.leafly.com/flower-images/northern-lights.png,Indica,"Northern Lights is an indica marijuana strain made by crossing Afghani with Thai. Northern Lights produces euphoric effects that settle in firmly throughout the body, relaxing muscles and easing the mind. Consumers say this strain has a pungently sweet and spicy flavor profile that is smooth on the exhale. Medical marijuana patients choose Northern Lights to help relieve symptoms associated with depression, stress, pain and insomnia. Growers say this strain features purple and crystal-coated buds and grows best indoors with a flowering time of 45-50 days."
19,Durban Poison,91,https://images.leafly.com/flower-images/durban-poison.jpg,Sativa,"This pure sativa originates from the South African port city of Durban. It has gained popularity worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity. Growers and concentrate enthusiasts will both enjoy the over-sized resin glands which make this strain a quality choice for concentrate extraction. The buds are round and chunky, and leave a thick coating of trichomes on almost all areas of the plant."
20,Cherry Pie,84,https://images.leafly.com/flower-images/cherry-pie.jpg,Hybrid,"Cherry Pie's parents are Granddaddy Purple and Durban Poison. With buds that are dense and full of orange hairs and a touch of purple, this hybrid strain smells of sweet and sour cherry pie. The effects have been known to come on in minutes and stick around for a couple hours. "
21,Strawberry Cough,74,https://images.leafly.com/flower-images/strawberry-cough.png,Sativa,"Known for its sweet smell of fresh strawberries and an expanding sensation that can make even the most seasoned consumer cough, Strawberry Cough is a potent sativa marijuana strain with mysterious genetic origins. However, Strawberry Cough is thought to be a cross of Strawberry Fields. The skunky, berry flavors will capture your senses while the cerebral, uplifting effects provide an aura of euphoria that is sure to leave a smile on your face. Strawberry Cough is a great solution in times of elevated stress. "
22,Trainwreck,64,https://images.leafly.com/flower-images/trainwreck.png,Hybrid,"Trainwreck is a mind-bending, potent sativa with effects that hit like a freight train. Mexican and Thai sativas were bred with Afghani indicas to produce this Northern California staple, passing on a sweet lemon and spicy pine aroma. Trainwreck begins its speedy hurtle through the mind with a surge of euphoria, awakening creativity and happiness. Migraines, pain, and arthritis are mowed down by Trainwreck’s high-THC content, and many patients also use it for relief of anxiety, ADD/ADHD, and PTSD. Trainwreck flowers tend to finish early when growing outdoors, while indoor gardens are ready for harvest after 8 weeks."
23,Cookies and Cream,79,https://images.leafly.com/flower-images/WYY8ukOLRAuW8pdX2fVr_COOKIES%20&%20CREAM-181-edited.jpg,Hybrid,"Bred by Exotic Genetix, Cookies and Cream is a hybrid cross between Starfighter and an undisclosed GSC phenotype. This sweet-tasting variety provides long-lasting relief for patients treating symptoms throughout the day, but high doses can induce an early night’s sleep. Cookies and Cream took first place in the hybrid category of the 2014 Denver Cannabis Cup."
24,Blueberry,57,https://images.leafly.com/flower-images/blueberry.jpg,Indica,"Blueberry is an indica marijuana strain made by crossing Purple Thai with Thai. A true A-List cannabis strain, Blueberry’s legendary status soared to new heights after claiming the High Times’ Cannabis Cup 2000 for Best indica. The long history of the strain goes back to the late 1970s when American breeder DJ Short was working with a variety of exotic landrace strains. However, throughout the decades of Blueberry’s cultivation, the genetics have been passed around, due in large part to DJ Short working with multiple seed banks and breeders. The sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria. Many consumers utilize Blueberry to help contend with pain and stress, while connoisseurs and growers admire the strain for its colorful hues and high THC content."
25,Super Lemon Haze,98,https://images.leafly.com/flower-images/super-lemon-haze.jpg,Sativa,"Super Lemon Haze is a sativa-dominant hybrid of Lemon Skunk and Super Silver Haze and two time Cannabis Cup winner from Green House Seeds. Super Lemon Haze is a kief-caked multi-colored wonder. As the name states this strain has real lemony characteristics. The smell is zesty, citrusy, and a little sweet. As for the taste, it's everything one would expect from the namesake; tart and sweet like lemonheads candy - not quite as sharp as one might expect. The effects are uniquely energetic and lively, may not be the best strain for those of us that are naturally wound-up tight."
26,Animal Cookies,94,https://images.leafly.com/flower-images/xpdL6Nq9SGu0zjD2aNQf_ANIMAL%20COOKIES-337-edited.jpg,Hybrid,"Animal Cookies is a hybrid marijuana strain made by crossing two legendary strains, GSC and Fire OG. This clone-only strain flowers in 9-10 weeks and grows dense, frosty green buds tipped with purple. True to its name, Animal Cookies has a sweet, sour aroma with heavy full-body effects that will impress any veteran consumer. This potent medicine might be overkill for mild symptoms, but its ability to obliterate severe pain and insomnia is unprecedented."
27,Grape Ape,89,https://images.leafly.com/flower-images/grape-ape.jpg,Indica,"Grape Ape, propagated by Apothecary Genetics and Barney’s Farm, is a mostly indica strain that crosses Mendocino Purps, Skunk, and Afghani. Named for its distinct grape-like smell, this indica is known for providing carefree relaxation that can help soothe pain, stress, and anxiety. Its dense, compact buds are wreathed in deep purple leaves which darken as this indica reaches full maturation following its 7 to 8 week flowering time."
28,Candyland,56,https://images.leafly.com/flower-images/candyland.jpg,Sativa,"Candyland is a sativa marijuana strain bred from Granddaddy Purple and Bay Platinum Cookies. Golden hairs weave through Candyland’s thick coat of sugar-like trichomes and highlight the compact, camouflage-colored buds. This strain grows well indoors and out, and patients turn to Candyland when trying to moderate pain, muscle tension, and sour moods. Candyland offers uplifting and stimulating effects, making it a perfect strain for social gatherings or creative pastimes."
29,Super Silver Haze,58,https://images.leafly.com/flower-images/super-silver-haze.png,Sativa,"Super Silver Haze is a sativa marijuana strain bred by Green House Seeds. It was the first prize winner at the High Times Cannabis Cup in 1997, 1998, and 1999. Super Silver Haze is made by crossing Skunk, Northern Lights, and Haze creates a beautiful, sticky strain that boasts an energetic, long-lasting body high. The uplifting effects are a great for high stress levels or when suffering from a lack of appetite or nausea."
30,White Fire OG,100,https://images.leafly.com/flower-images/flMvWRExSXSewuwawFG6_WHITE%20FIRE-358-edited.jpg,Hybrid,"White Fire OG (also known as WiFi OG or simply WiFi) is a hybrid marijuana strain known for its uplifting and cerebral effects. White Fire OG is made by crossing Fire OG and The White. This strain features notable aromas that are sour and earthy. Consumers say that White Fire OG is ideal for social and cretive activities without leaving you drowsy. One Leafly user notes ""WiFi OG is probably my number one strain. It helps massively with my anxiety. It's a very energetic and bubbly high for me."" Medical marijuana patients choose this strain to treat anxiety, depression, cancer, glaucoma, pain and appetite loss. The appearance of this strain resembles a dusty snowfall of crystals. According to growers, many phenotypes of White Fire OG exist, some with dense, barrel-like buds and others with pointed, conic formations. Growers of White Fire OG can raise their high-yielding plants indoor or outdoors with a 65-day flowering period."
31,Tahoe OG,51,https://images.leafly.com/flower-images/wh5SjmW4RsmLzoNbvJAj_TAHOE%20OG-292-edited.jpg,Hybrid,"Tahoe OG is the perfect rainy day strain. Strong and fast-acting, you may not want to use this strain when you’re planning to leave the house. Great for those suffering from insomnia, pain, or lack of appetite, Tahoe OG has made a name for itself among other indicas. A top nighttime strain, it provides an extremely lazy, heavy body sensation. Due to superb breeding, Tahoe OG embodies all of the typical indica effects with an added euphoric, sativa-like kick. This strain features an earthy, lemon taste, and is a phenotype of OG Kush. Maturing at around 10 weeks, Tahoe OG is a must-try for those looking for a great night’s sleep."
32,Platinum Cookies,97,https://images.leafly.com/flower-images/platinum-gsc.jpg,Hybrid,"Platinum Cookies is a popular hybrid marijuana strain and the next evolution of GSC - Platinum GSC, formerly known as Platinum Girl Scout Cookies. This Cup-winning hybrid—a cross of OG Kush, Durban Poison, and a third unknown strain—fills your nose and lungs with sweet notes of berry and candy, followed by a fruity spiciness. Patients with severe pain, nausea, swelling, migraines, and stress should look no further for relief as symptoms both physical and mood-related melt away instantly. The Platinum GSC strain flaunts a heavy coat of crystal trichomes over its sage green leaves, assuring its potency to any consumer in doubt."
33,Thin Mint GSC,98,https://images.leafly.com/flower-images/i7NqIuuQRd2ZQQ89VFbg_THIN%20MINT-207-edited.jpg,Hybrid,"Thin Mint, a hybrid cross containing Durban Poison and OG Kush genetics, is a phenotype of the legendary GSC strain. Dark green and royal purple hues peek through a heavy coat of crystals, with a sweet minty smell that gives a full explanation of this strain’s name. Thin Mint calls upon the powers of its indica, sativa, and hybrid ancestors for a powerful full-body effect that gives this strain its sterling reputation. The high psychoactivity of this strain is not for novice consumers, but patients with a variety of symptoms are giving Thin Mint their seal of approval: severe pain, nausea, swelling, insomnia, and appetite loss are no match for the potency of Thin Mint."
34,Cookies Kush,72,https://images.leafly.com/flower-images/eZUymXkCSXuiM2oElpRa_COOKIES%20KUSH-349-edited%20(1).jpg,Indica,"Cookies Kush from Barney's Coffeeshop combines GSC with the Rolex phenotype of OG Kush, resulting in a potent indica worthy of 1st place in High Times' 2014 Amsterdam Cannabis Cup in the ""Best Coffeeshop Strain"" category."
35,Purple Kush,84,https://images.leafly.com/flower-images/purple-kush.jpg,Indica,"Purple Kush is a pure indica strain that emerged from the Oakland area of California as the result of crossing Hindu Kush and Purple Afghani. Its aroma is subtle and earthy with sweet overtones typical of Kush varieties. Blissful, long-lasting euphoria blankets the mind while physical relaxation rids the body of pain, sleeplessness, and stress. Purple Kush will grow wide rather than tall, and will be ready for harvest following an 8-week flowering time."
36,Mango Kush,56,https://images.leafly.com/flower-images/mango-kush.jpg,Hybrid,"The Mango Kush marijuana strain tastes similar to the actual mango fruit, with a distinct kush flavor and hints of pine on the exhale. Its buds are covered with orange pistils and are described as very dense. The plant has an average growth height of 4-5 feet. Flowering is 9-11 weeks and is a favorite with both indoor and outdoor growers. The buds have thick shiny trichomes which are evident when the bud is broken apart. The smell and taste are the same and described as mango and banana. "
37,Orange Cookies,90,https://images.leafly.com/flower-images/qjyKHW2TqXlzjGJyJoMA_ORANGE%20COOKIES-191-edited.jpg,Hybrid,"Orange Cookies bred by Franchise Genetics is a hybrid that combines Orange Juice with the renowned GSC. A flavor-packed strain, Orange Cookies expresses itself with a strong aroma of sweet citrus that closely resembles a fresh tangerine. The flavors of Orange Cookies gives way to deep calming body effects that mingle with a euphoric cerebral buzz to leave you happy and relaxed."
38,Papaya,70,https://images.leafly.com/flower-images/BWnS6paT7mvEG0e4WMHw_PAPAYA-370-edited.jpg,Indica,"Papaya is an indica-dominant hybrid cannabis strain that is known for producing a mental calmness, though many consumers also find that this strain makes them energetic and productive. Nirvana Seeds bred this to be their take on a Mango strain and crossed Citral #13 with Ice #2 to make their own fruit. They met their own challenge and Papaya smells uncannily like its namesake. The taste is similar to its tropical fruit counterpart, but a spicy, peppery side also becomes apparent. The plants stay fairly short and thin, producing lots of fluffy buds with papaya-orange hairs in 8 or 9 weeks."
39,Cheese,81,https://images.leafly.com/flower-images/cheese.png,Hybrid,"Named for its sharply sour aroma, Cheese is an indica-dominant hybrid from the U.K. that has achieved widespread popularity for its unique flavor and consistent potency. With origins that stretch back to the late 1980s, Cheese is said to descend from a Skunk #1 phenotype whose pungent aroma made it stand out. Breeders like Big Buddha Seeds later introduced Afghani indica genetics to increase Cheese’s trichome production and yields. The resulting strain is now well-known for its relaxed, happy effects that gently ease you into a blissful state of mind."
40,Lemon Cake,78,https://images.leafly.com/flower-images/lemon-cake.jpg,Sativa,"Lemon Cake by Heavyweight Seeds is a potent sativa-dominant strain with sweet and musky aromas. Also known as Lemon Pound Cake and Lemon Cheesecake, Lemon Cake is a cross of Lemon Skunk and a “dangerously powerful Cheese,” according to Heavyweight. With a 9-10 week flowering time, squat morphology, and abundant yield, Lemon Cake is kind to growers, especially those outdoors. This strain emits a pungent citrus aroma with a musky Cheese undertone. Heavyweight Seeds recommends consuming this strain to combat stress, loss of appetite, and minor physical discomfort."
41,Lemon Kush,57,https://images.leafly.com/flower-images/lemon-kush.jpg,Hybrid,"The general consensus surrounding Lemon Kush is that is a cross between Master Kush and Lemon Joy. However, breeder specific variations exist. Alien Genetics, for example, explains their Lemon Kush as a hybrid between Lemon G, a prized strain from Ohio, and an Afghan Kush. The genetics are the only area of dispute as everyone will agree that the sweet flavors of lemon and citrus mix exceptionally well with the earthy kush undertones. The light green buds are covered in a white frosting of trichomes and provide uplifting and creative effects. Lemon Kush is the perfect solution for when the stresses of life have you feeling sour."
42,9 lb Hammer,69,https://images.leafly.com/flower-images/9-pound-hammer.jpg,Indica,"9 Pound Hammer is an indica created by JinxProof Genetics that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. 9 Pound Hammer hosts a terpene profile abundant in myrcene, pinene, and caryophyllene with THC levels ranging between 17-21%. Effects can be heavy and long-lasting, making this strain useful for pain and stress relief. Best grown indoors, 9 Pound Hammer flowers between 50-60 days and will deliver high yields."
43,God's Gift,54,https://images.leafly.com/flower-images/z8wRmqFPQcOrn4aDu9Vv_GOD'S%20GIFT-234-edited.jpg,Indica,"A strain that became popular in California dispensaries in 2005, God's Gift contains flavors of grape, citrus, and hash. Its parents are Granddaddy Purple and OG Kush. No matter what your belief system, this strain is a ""gift"" with its dreamy, blissful effects. Its flowering time usually takes approximately 8-9 weeks."
44,Lemon OG,65,https://images.leafly.com/flower-images/LEMON-OG-051-2.jpg,Hybrid,"What this skunky indica lacks in longevity it makes up for in speed. A cross between the mythical Las Vegas Lemon Skunk and The OG #18, Lemon OG provides users with a quick-acting sleepy head sensation. While Lemon OG has inherited a skunky aroma from its kush relatives, this particular strain is mild tasting and pleasant smelling with fruity undertones. Lemon OG tends to feel more psychoactive than other members of the kush family, but still offers a heavy, medicated feel. The strain is great for stress relief and increasing appetite. These plants usually flower in 8-10 weeks."
45,True OG,67,https://images.leafly.com/flower-images/true-og.jpg,Indica,"True OG is a popular indica marijuana strain bred with genetics from OG Kush. This strain was originally discovered in Southern California, where the term “OG” originally meant “ocean grown.” True OG is potent, with long-lasting effects combined with a more focused head high. True OG buds have a pungent, crisp citrus and pine scent. True OG has snagged the 2nd place indica spot in every High Times Medical Cup since 2010. Medical marijuana patients choose this strain to help relieve symptoms associated with chronic pain."
46,White Tahoe Cookies,81,https://images.leafly.com/flower-images/white-tahoe-cookies.jpg,Indica,"White Tahoe Cookies is an indica marijuana strain made by crossing The White, Tahoe OG, and an unknown Girl Scout Cookies cut. This strain exemplifies attributes of each in trichome coverage, effect, and aroma. The GSC bouquet has been enhanced through this cross, offering up sweet, hashy notes with distant OG undertones. Its restful effects pile on with each hit, weighing the consumer to their seat while alleviating minor pain and anxiety."
47,Acapulco Gold,97,https://images.leafly.com/flower-images/acapulco.jpg,Sativa,"Acapulco Gold is a rare sativa marijuana strain. As one of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. This strain produces effects that are motivating and energizing. This strain comes from the area in and around Acapulco, Mexico, and its orange hairs resemble a gold nugget, with gold, green, and brown colors and plenty of resin on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and it's becoming more difficult to find. "
48,Chocolope,60,https://images.leafly.com/flower-images/o4MhnTW2QK2LicV68uiY_CHOCOLOPE-212-edited.jpg,Sativa,"Chocolope is a sativa marijuana strain made by crossing Chocolate Thai with Cannalope Haze. The result is a delicious homage to the chocolate strains that were popular in the 1980s. Chocolope's hefty buds give earthy, sweet coffee flavors that provide a dreamy, cerebral effect. Consumers report a strong, euphoric mental shift that is great when coping with depression or stress."
49,Sour Tangie,57,https://images.leafly.com/flower-images/sour-tangie.jpg,Sativa,"DNA Genetics’ Sour Tangie is an 80% sativa cross between East Coast Sour Diesel and Tangie. Sour Tangie brings together the classic Sour Diesel aroma with Tangie’s creative, elevating buzz and strong citrus overtones. This sativa has two different phenotypes that express either Sour Diesel or Tangie bud structures and effects. Sour Tangie grows quickly in its vegetative cycle and finishes flowering in 9 to 10 weeks indoors."
50,Blue Diesel,53,https://images.leafly.com/flower-images/blue-diesel.jpg,Hybrid,"Blue Diesel is a hybrid marijuana strain made by crossing Blueberry and NYC Diesel. This strain, sometimes known as Blue City Diesel, produces a pleasant, moderate to long-lasting body buzz. Thanks to its Blueberry genetics, this flower emanates a light berry aroma that is smooth, expansive, and fast-acting. This strain is optimal for daytime and comes with little to no fatigue or increased appetite, making it a desirable option for medical marijuana patients. Originally produced by Breeder’s Choice, this plant may provide just the relaxation you need."
51,Animal Mints,67,https://leafly-public.imgix.net/strains/photos/IaYQshrPTxiD2BOWHO1n_AnimalMints.png,Hybrid,"Animal Mints is a hybrid marijuana strain made by crossing Animal Cookies with Blue Power and GSC. Animal Mints produces a strong body and head high, making it ideal for after work and evening use. This strain features a sweet, pungent aroma that is minty on the exhale. Growers say Animal Mints has bright green and brown buds with only a dusting of frost. Medical marijuana patients choose this strain to help relieve symptoms associated with stress."
52,Orange Creamsicle,78,https://images.leafly.com/flower-images/orange-creamsicle.jpg,Hybrid,"Taking the best attributes of parent strains Orange Crush and Juicy Fruit, Orange Creamsicle’s tall structure, heavy colas, and pungent flavor will be sure to keep you coming back for more. This hybrid strain, as the name suggests, has a strong citrus flavor and is used to treat nausea and anxiety. Growers will be happy with this heavy producer that flowers in 9 weeks with beautiful orange-white coloring and a thick coating of resin."
53,Haze,83,https://images.leafly.com/flower-images/haze.png,Sativa,"Haze is a sativa marijuana strain. This strain provides high-energy and creative effects. Haze first took root in Santa Cruz, California during the 1960s where long growing seasons accommodated her lengthy flowering cycle. Since then, Haze has become the proud parent of countless hybrids around the globe, passing on its genetics from Colombia, Mexico, Thailand, and South India. Haze's aroma is typically characterized by a spicy scent accented by hints of citrus and earthy sweetness. "
54,Amnesia,99,https://images.leafly.com/flower-images/AMNESIA-026.jpg,Sativa,"Amnesia is a sativa marijuana strain made by crossing Cinderella 99, and Jack Herer. This strain produces effects that are uplifting, creative, euphoric and ideal for treating mood disorders. Growers should expect a 9-10 week flowering period with moderate yields. Amnesia normally has a high THC and low CBD profile and produces intense effects that new consumers should be wary of."
55,Black Jack,54,https://images.leafly.com/flower-images/black-jack.jpg,Hybrid,"Bred by Sweet Seeds, Black Jack is a cross of Black Domina and Jack Herer. This strain produces thick buds with huge calyxes that are completely encrusted with trichomes. It has a heavy and flavorful taste and it produces exceptionally long-lasting effects. Because of its high THC levels, Black Jack is popular among medical marijuana patients."
56,Super Skunk,52,https://images.leafly.com/flower-images/brHMDx6QQiAUzWW1QMxC_SUPER%20SKUNK-011-edited.jpg,Indica,"Super Sunk is an indica marijuana strain made by crossing Skunk #1 with Afghani. This strain produces bold, relaxing effects that you can feel through your entire body. Medical marijuana patients choose Super Skunk to help relieve symptoms associated with chronic stress and pain. Super Skunk is ideal for anyone who enjoys an extra skunky aroma."
57,NYC Diesel,90,https://images.leafly.com/flower-images/nyc-diesel.jpg,Hybrid,"NYC Diesel is a hybrid marijuana strain made by crossing Mexican and Afghani landraces. This strain leans to the sativa side and provides strong cerebral effects that ease into a deep, full-body relaxation over time. A pungent lime and grapefruit aroma is the mark of a high quality batch, like those that won this strain five Cannabis Cup trophies in the early 2000s. NYC Diesel’s happy, talkative qualities make this hybrid a good choice for social activities and many anxiety-prone consumers praise it for its paranoia-free effects."
58,Dutch Treat,53,https://images.leafly.com/flower-images/dutch-treat.jpg,Hybrid,"Dutch Treat is a hybrid marijuana strain made by crossing Northern Lights with Haze. This strain produces cerebral effects that will leave you feeling uplifted and euphoric while reducing stress and relaxing the mind. Dutch Treat features a flavor profile that smells like sweet fruits mixed with pine and eucalyptus trees. Growers say this strain has dense, sticky buds that are pungent. Medical marijuana patients choose Dutch Treat to help relieve symptoms associated with fatigue, pain, and PMS. This strain originates from Amsterdam and is a cultural staple among the coffee shops there."
